City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Esperance,AU,-33.8667,121.9,64.38,62,16,9.17,few clouds
171,Tura,IN,25.5198,90.2201,61.84,68,31,3.71,scattered clouds
172,Indianola,US,41.3581,-93.5574,55.26,50,100,13.44,overcast clouds
173,Pemba,MZ,-12.974,40.5178,79.38,76,6,7.67,clear sky
174,Haines Junction,CA,60.7522,-137.5108,12.33,98,100,1.81,overcast clouds
175,Matamoros,MX,25.5333,-103.25,78.91,37,75,4.61,broken clouds
176,Baie-Comeau,CA,49.2168,-68.1489,24.48,93,90,5.75,overcast clouds
177,Mirnyy,RU,62.5353,113.9611,-13.43,97,100,2.42,overcast clouds
178,Tasiilaq,GL,65.6145,-37.6368,25.23,92,100,35.84,snow
179,Pontianak,ID,-0.0333,109.3333,75.18,94,20,4.61,few clouds
180,Pinheiro,BR,-2.5214,-45.0825,77.29,78,100,3.83,overcast clouds
181,Aguimes,ES,27.9054,-15.4461,63.23,68,40,14.97,scattered clouds
182,Portland,US,45.5234,-122.6762,63.05,85,75,1.99,broken clouds
183,Olavarria,AR,-36.8927,-60.3225,61.43,58,0,8.68,clear sky
184,Abha,SA,18.2164,42.5053,46.65,81,0,0.0,clear sky
185,Isangel,VU,-19.55,169.2667,82.44,74,43,14.74,scattered clouds
186,Georgetown,MY,5.4112,100.3354,78.73,87,40,4.61,moderate rain
187,Ambulu,ID,-8.345,113.6058,78.46,84,96,2.66,overcast clouds
188,Vao,NC,-22.6667,167.4833,76.57,79,98,18.21,overcast clouds
189,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.11,65,97,9.31,overcast clouds
190,Rancho Palos Verdes,US,33.7445,-118.387,85.68,71,1,1.01,clear sky
191,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,95,100,2.75,overcast clouds
192,Illela,NG,13.7292,5.2975,73.98,18,72,10.13,broken clouds
193,Calvinia,ZA,-31.4707,19.776,54.63,67,55,5.86,broken clouds
194,Keti Bandar,PK,24.1447,67.4497,70.92,66,0,7.85,clear sky
195,Terrace Bay,CA,48.7834,-87.1,36.79,96,100,18.54,light rain
